"Tax_HotelID","Tax_HotelName","Tax_HotelAddress","Tax_City"
10053,"MARTIN DIES JR STATE PARK","634 PRIVATE ROAD 5025","JASPER"
10071,"MCKINNEY FALLS STATE PARK","5808 MCKINNEY FALLS PKWY","AUSTIN"
10859,"PALO DURO CANYON STATE PARK","11450 PARK ROAD 5","CANYON"
11987,"SAN ANGELO STATE PARK","3900 MERCEDES ST STE 2","SAN ANGELO"
16351,"VILLAGE CREEK STATE PARK","8854 PARK ROAD 74","LUMBERTON"
11174,"POSSUM KINGDOM STATE PARK","3901 PARK ROAD 33","CADDO"
1874,"BIG BEND RANCH STATE PARK","1900 SAUCEDA ROAD","PRESIDIO"
6301,"DEVILS RIVER STATE NATURAL AREA","21715 DOLAN CREEK RD","DEL RIO"
13000,"STEPHEN F AUSTIN STATE PARK","100 PARK RD 38","SEALY"
10376,"MOTHER NEFF STATE PARK","1680 S.H. 236","THE GROVE"
7208,"FORT RICHARDSON STATE PARK","228 PARK ROAD 61","JACKSBORO"
7314,"GALVESTON ISLAND STATE PARK","14901 TERMINI SAN LUIS PASS RD","GALVESTON"
12250,"SEA RIM STATE PARK","19335 S GULFWAY DR","SABINE PASS"
7200,"FORT BOGGY STATE PARK","4994 STATE HIGHWAY 75 S","CENTERVILLE"
6812,"ESTERO LLANO GRANDE STATE PARK","3301 S FM 1015","WESLACO"
9549,"LAKE WHITNEY STATE PARK","433 FM 1244","WHITNEY"
2673,"CHOKE CANYON STATE PARK","PARK ROAD 8","CALLIHAM"
8652,"HUNTSVILLE STATE PARK","565 PARK ROAD 40","HUNTSVILLE"
10976,"PEDERNALES FALLS STATE PARK","2858 PARK ROAD 6026","JOHNSON CITY"
9042,"KAMPING PLEASURES INC","101 COUNTY ROAD 371","MATHIS"
7203,"FORT CLARK SPRINGS ASSOCIATION","60 FT SOUTH OF CITY","BRACKETTVILLE"
9505,"LAFAYETTE WEST APARTMENTS","11601 KATY FREEWAY","HOUSTON"
13756,"THE FESTIVAL-INSTITUTE AT ROUND TOP","248 JASTER RD","ROUND TOP"
9989,"MARAVILLA","9520 SEAWALL BLVD APT 239","GALVESTON"
9995,"MARAVILLA","9520 SEAWALL BLVD APT 339","GALVESTON"
10004,"MARAVILLA CONDOS #210","9520 SEAWALL BLVD APT 210","GALVESTON"
9991,"MARAVILLA","9520 SEAWALL BLVD APT 307","GALVESTON"
9993,"MARAVILLA","9520 SEAWALL BLVD APT 322","GALVESTON"
